"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"/Users/ingoknorr/code/iKnorr/marvel-app/src/App.js", "JavaScript", 15, 0, 0, 5, 20
"/Users/ingoknorr/code/iKnorr/marvel-app/src/App.module.scss", "SCSS", 0, 6, 8, 1, 15
"/Users/ingoknorr/code/iKnorr/marvel-app/src/api.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/descriptionDetail/DescriptionDetail.js", "JavaScript", 15, 0, 0, 4, 19
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/descriptionDetail/DescriptionDetail.module.scss", "SCSS", 0, 9, 0, 2, 11
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/displayContent/DisplayContent.js", "JavaScript", 74, 0, 1, 11, 86
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/displayContent/DisplayContent.module.scss", "SCSS", 0, 67, 4, 9, 80
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/footer/Footer.js", "JavaScript", 17, 0, 0, 5, 22
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/footer/Footer.module.scss", "SCSS", 0, 16, 3, 4, 23
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/header/Header.js", "JavaScript", 11, 0, 0, 4, 15
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/header/Header.module.scss", "SCSS", 0, 8, 0, 2, 10
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/linkDetail/linkDetail.js", "JavaScript", 19, 0, 0, 3, 22
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/linkDetail/linkDetail.module.scss", "SCSS", 0, 12, 4, 1, 17
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/navbar/Navbar.js", "JavaScript", 32, 0, 0, 6, 38
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/navbar/Navbar.module.scss", "SCSS", 0, 24, 5, 4, 33
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/search/SearchBar.js", "JavaScript", 29, 0, 0, 9, 38
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/search/SearchBar.module.scss", "SCSS", 0, 31, 0, 4, 35
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/button/Button.js", "JavaScript", 6, 0, 0, 4, 10
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/button/Button.module.scss", "SCSS", 0, 10, 1, 1, 12
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/containerPadding/ContainerPadding.js", "JavaScript", 4, 0, 0, 2, 6
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/containerPadding/containerPadding.module.scss", "SCSS", 0, 0, 0, 1, 1
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/spinner/Spinner.js", "JavaScript", 9, 0, 0, 3, 12
"/Users/ingoknorr/code/iKnorr/marvel-app/src/components/ui/spinner/Spinner.module.scss", "SCSS", 0, 22, 0, 3, 25
"/Users/ingoknorr/code/iKnorr/marvel-app/src/hooks/useApi.js", "JavaScript", 28, 0, 1, 8, 37
"/Users/ingoknorr/code/iKnorr/marvel-app/src/index.js", "JavaScript", 39, 0, 0, 4, 43
"/Users/ingoknorr/code/iKnorr/marvel-app/src/index.module.scss", "SCSS", 0, 13, 5, 3, 21
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/characterDetail/CharacterDetail.js", "JavaScript", 32, 0, 3, 7, 42
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/characterDetail/CharacterDetail.module.scss", "SCSS", 0, 27, 0, 6, 33
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/characters/Characters.js", "JavaScript", 21, 0, 0, 5, 26
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/characters/Characters.module.scss", "SCSS", 0, 0, 63, 9, 72
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/comicDetail/ComicDetail.js", "JavaScript", 81, 0, 4, 13, 98
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/comicDetail/ComicDetail.module.scss", "SCSS", 0, 37, 0, 8, 45
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/comics/Comics.js", "JavaScript", 21, 0, 0, 5, 26
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/comics/Comics.module.scss", "SCSS", 0, 0, 63, 9, 72
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/home/Home.js", "JavaScript", 22, 0, 0, 5, 27
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/home/Home.module.scss", "SCSS", 0, 28, 0, 5, 33
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/series/Series.js", "JavaScript", 21, 0, 0, 5, 26
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/series/Series.module.scss", "SCSS", 0, 0, 0, 1, 1
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/seriesDetail/SeriesDetail.js", "JavaScript", 48, 0, 9, 8, 65
"/Users/ingoknorr/code/iKnorr/marvel-app/src/pages/seriesDetail/SeriesDetail.module.scss", "SCSS", 0, 43, 1, 7, 51
"Total", "-", 552, 353, 175, 199, 1279